Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
"116 | elegant 3 room apartment in Mitte, near Auguststr./ Oranienburger str.","€2,500",3,1,110 m²,https://wunderflats.com/en/furnished-apartment/116-or-elegant-3-room-apartment-in-mitte-near-auguststr-oranienburger-str/606f007a865ba90007f458a7?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['|', 'elegant']","['room', 'apartment', 'str']","['Mitte', 'Auguststr./', 'Oranienburger']"
"Lovely flat in quiet street, Berlin","€1,050",1,2,34 m²,https://wunderflats.com/en/furnished-apartment/lovely-flat-in-quiet-street-berlin/5f3ad89739ecc20006549581?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['flat', 'quiet']",['street'],['Berlin']
Perfect apartment in Friedrichshain,"€1,250",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/perfect-apartment-in-friedrichshain/6065813dbe65e100073c1ae3?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['Perfect'],['apartment'],['Friedrichshain']
Great and beautiful flat in central location,"€1,490",2,1,53 m²,https://wunderflats.com/en/furnished-apartment/great-and-beautiful-flat-in-central-location/56310819e104d9c00f1ef17d?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['beautiful', 'flat', 'central']",['location'],['Great']
Fantastic suite near Kurfürstendamm,"€1,272",2,2,55 m²,https://wunderflats.com/en/furnished-apartment/fantastic-suite-near-kurfuerstendamm/570b66f740fda529a28912c5?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['Fantastic'],['suite'],['Kurfürstendamm']
Modern minimalistic 3-room apartment in central location - Friedrichshain,"€2,000",3,2,85 m²,https://wunderflats.com/en/furnished-apartment/modern-minimalistic-3-room-apartment-in-central-location-friedrichshain/5b56f01b71c9bd5a57c0ae12?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['Modern', 'minimalistic', '3-room', 'central']","['apartment', 'location', 'Friedrichshain']",[]
"Modern, exclusive 2 rooms apartment with balcony,  central location (eg Messe Berlin)","€1,499",2,2,61 m²,https://wunderflats.com/en/furnished-apartment/modern-exclusive-2-rooms-apartment-with-balcony-central-location-eg-messe-berlin/5d71002da1d5780007849582?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['exclusive', 'central', 'eg']","['apartment', 'balcony', 'location']","['Modern', 'Messe', 'Berlin']"
"Charming 2,5 Room Designer Apartment in Beautiful Prenzlauer Berg with a Balcony","€1,590",2,1,63 m²,https://wunderflats.com/en/furnished-apartment/charming-25-room-designer-apartment-in-beautiful-prenzlauer-berg-with-a-balcony/5d2d72880cf823000764a508?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,[],['Balcony'],"['Room', 'Designer', 'Apartment', 'Beautiful', 'Prenzlauer', 'Berg']"
"Amazing, gorgeous studio in Friedrichshain","€1,225",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/amazing-gorgeous-studio-in-friedrichshain/5fca562b3361ab0006f49d6e?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['gorgeous'],['studio'],"['Amazing', 'Friedrichshain']"
Perfect studio close to city center,"€1,800",2,4,32 m²,https://wunderflats.com/en/furnished-apartment/g/perfect-studio-close-to-city-center/X7Htr1m7pK?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['Perfect', 'close']","['studio', 'city', 'center']",[]
Awesome and quiet flat in popular area,"€2,639",2,1,40 m²,https://wunderflats.com/en/furnished-apartment/g/awesome-and-quiet-flat-in-popular-area/9cd0B-tvoI?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['quiet', 'flat', 'popular']",['area'],['Awesome']
"Quiet, fantastic studio","€1,350",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/g/quiet-fantastic-studio/Sy5tHnEfN?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['Quiet', 'fantastic']",['studio'],[]
Neat and cozy studio (Charlottenburg),"€1,250",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/neat-and-cozy-studio-charlottenburg/5c178b53b98ecd000852e542?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['cozy'],['studio'],"['Neat', 'Charlottenburg']"
"nice and charming studio on the 2nd floor, right in the heart of friedrichshain","€1,050",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/nice-and-charming-studio-on-the-2nd-floor-right-in-the-heart-of-friedrichshain/5dff4f9c30e9c60007b59e3a?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['nice', 'charming', '2nd']","['studio', 'floor', 'heart', 'friedrichshain']",[]
Amazing fully furnished studio apartment at Kudamm / Adenauer Platz,"€1,120",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/amazing-fully-furnished-studio-apartment-at-kudamm-adenauer-platz/5c111bf2d86d010006c7d23b?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,[],"['studio', 'apartment']","['Amazing', 'Kudamm', '/', 'Adenauer', 'Platz']"
Modern 2-room apartment with a great view of the Gleisdreieck Park,"€2,100",1,1,50 m²,https://wunderflats.com/en/furnished-apartment/g/modern-2-room-apartment-with-a-great-view-of-the-gleisdreieck-park/J8NpmDT9fr?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['Modern', '2-room', 'great']","['apartment', 'view']","['Gleisdreieck', 'Park']"
"Light-flooded apartment with two single beds, in the middle of Charlottenburg","€1,125",1,2,31 m²,https://wunderflats.com/en/furnished-apartment/g/light-flooded-apartment-with-two-single-beds-in-the-middle-of-charlottenburg/S1mytPlUf?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['Light-flooded', 'single']","['apartment', 'middle']",['Charlottenburg']
"BEAUTIFUL , COZY APARTMENT IN FRIEDRICHSHAIN","€1,760",2,1,54 m²,https://wunderflats.com/en/furnished-apartment/beautiful-cozy-apartment-in-friedrichshain/5ff705b79c5b3b0006c2fa72?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,[],[],"['BEAUTIFUL', 'COZY', 'APARTMENT', 'IN', 'FRIEDRICHSHAIN']"
"Cozy flat in Pankow, Berlin","€1,290",2,3,65 m²,https://wunderflats.com/en/furnished-apartment/cozy-flat-in-pankow-berlin/5762b804938dc3395ad0ab12?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['flat'],[],"['Cozy', 'Pankow', 'Berlin']"
"Charming, modern suite","€1,690",3,3,85 m²,https://wunderflats.com/en/furnished-apartment/charming-modern-suite/56cc6fc46f271e5a6bd62612?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['modern'],['suite'],['Charming']
"Charming, modern apartment in Berlin-Wilmersdorf","€1,650",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/charming-modern-apartment-in-berlin-wilmersdorf/60754fe1014ed40007686689?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['modern'],['apartment'],"['Charming', 'Berlin-Wilmersdorf']"
Cozy apartment newly renovated with french balcony,"€1,100",3,1,50 m²,https://wunderflats.com/en/furnished-apartment/cozy-apartment-newly-renovated-with-french-balcony/5c18b21851c364000609bdaa?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['french'],"['apartment', 'balcony']",['Cozy']
Stylish newly built apartment in the heart of Berlin-Mitte with balcony and great connection,"€2,000",2,2,55 m²,https://wunderflats.com/en/furnished-apartment/stylish-newly-built-apartment-in-the-heart-of-berlin-mitte-with-balcony-and-great-connection/5eb12e9643933500077c8867?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['Stylish', 'great']","['apartment', 'heart', 'balcony', 'connection']",['Berlin-Mitte']
Modern & beautiful flat in Prenzlauer Berg,"€1,150",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/modern-and-beautiful-flat-in-prenzlauer-berg/607871926ea10400087e4cc2?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['beautiful'],['flat'],"['Modern', 'Prenzlauer', 'Berg']"
"bright, exclusive Flat in top location","€1,800",2,1,70 m²,https://wunderflats.com/en/furnished-apartment/bright-exclusive-flat-in-top-location/5ec3c81fd23d1d00063d7e6f?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['exclusive', 'top']","['bright', 'location']",['Flat']
Lovingly furnished and chic studio apartment in Schöneberg,"€2,400",3,2,78 m²,https://wunderflats.com/en/furnished-apartment/lovingly-furnished-and-chic-studio-apartment-in-schoeneberg/5f2baf0d73e0a000065b8aff?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,['chic'],"['studio', 'apartment']",['Schöneberg']
Cute loft in Gesundbrunnen,"€2,200",3,3,75 m²,https://wunderflats.com/en/furnished-apartment/cute-loft-in-gesundbrunnen/5eb6ca1942807000066f0cc4?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,[],['loft'],"['Cute', 'Gesundbrunnen']"
Spacious and bright apartment in Berlin Prenzlauer Berg with sunny balcony,"€1,490",2,1,48 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-bright-apartment-in-berlin-prenzlauer-berg-with-sunny-balcony/5757ef439b7ae0a3bdea1fa4?dataLayerKey=Xpm7OlbK1BDVijbStg9nh,"['Spacious', 'bright', 'sunny']","['apartment', 'balcony']","['Berlin', 'Prenzlauer', 'Berg']"
Highly exclusive apartment with a view,"€2,860",2,1,72 m²,https://wunderflats.com/en/furnished-apartment/g/highly-exclusive-apartment-with-a-view/Zd0PP7Te52?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['exclusive'],"['apartment', 'view']",[]
Cozy flat in Neukölln near Treptower Park,"€1,200",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/cozy-flat-in-neukoelln-near-treptower-park/5b1e6c234ac632d601afee0c?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['flat'],[],"['Cozy', 'Neukölln', 'Treptower', 'Park']"
"SERVICED APARTMENT: New and modern, central rooftop apartment","€1,980",2,4,42 m²,https://wunderflats.com/en/furnished-apartment/serviced-apartment-new-and-modern-central-rooftop-apartment/5e8efec7d2394f000670bdc7?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['SERVICED', 'modern', 'central']","['rooftop', 'apartment']","['APARTMENT', 'New']"
"Idyllic, green and bright apartment close to Tempelhofer Feld","€1,800",3,1,94 m²,https://wunderflats.com/en/furnished-apartment/idyllic-green-and-bright-apartment-close-to-tempelhofer-feld/60b132ef1ae0770007c9cbb2?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['green', 'bright']",['apartment'],"['Idyllic', 'Tempelhofer', 'Feld']"
"Nice, charming studio in Charlottenburg (Berlin)","€1,999",3,3,48 m²,https://wunderflats.com/en/furnished-apartment/nice-charming-studio-in-charlottenburg-berlin/60b4a3c84a095e0007339fdc?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,[],['studio'],"['Nice', 'Charlottenburg', 'Berlin']"
Amazing and nice penthouse,"€1,700",2,2,70 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-nice-penthouse/5f9c4a26ae14640006c895e9?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['nice'],['penthouse'],['Amazing']
City Center apartment at Alexanderplatz and infront  metro exit,"€1,290",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/city-center-apartment-at-alexanderplatz-and-infront-metro-exit/5fd75e4f12e40b000618a942?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['infront'],"['apartment', 'metro', 'exit']","['City', 'Center', 'Alexanderplatz']"
"Modern, bright luxury apartment with exclusive furniture in Charlottenburg with terrace","€2,820",3,2,120 m²,https://wunderflats.com/en/furnished-apartment/modern-bright-luxury-apartment-with-exclusive-furniture-in-charlottenburg-with-terrace/5cee5c384be3ca0008027acc?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['bright', 'exclusive']","['luxury', 'apartment', 'furniture', 'terrace']","['Modern', 'Charlottenburg']"
Cozy studio in a central location,"€1,290",1,1,18 m²,https://wunderflats.com/en/furnished-apartment/g/cozy-studio-in-a-central-location/B1Gc99jp6UXl?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['central'],"['studio', 'location']",['Cozy']
Bright and charming apartment in Alt-Lichtenberg next to Friedrichshain,€960,2,1,65 m²,https://wunderflats.com/en/furnished-apartment/bright-and-charming-apartment-in-alt-lichtenberg-next-to-friedrichshain/5c52fa21f0c7fd0005349b11?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['next'],['apartment'],"['Bright', 'Alt-Lichtenberg']"
Flair Berlin - Awesome and nice suite in Schöneberg,"€2,790",3,4,100 m²,https://wunderflats.com/en/furnished-apartment/flair-berlin-awesome-and-nice-suite-in-schoeneberg/5e98c770df42ee0006e3a172?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['nice'],['suite'],"['Flair', 'Berlin', 'Awesome', 'Schöneberg']"
Cozy & wonderful suite in Kreuzberg (Berlin),"€1,650",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-wonderful-suite-in-kreuzberg-berlin/5ee9fcf13af7d900078dd99e?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['wonderful'],['suite'],"['Cozy', 'Kreuzberg', 'Berlin']"
Great home located in Westend,"€1,495",2,2,55 m²,https://wunderflats.com/en/furnished-apartment/g/great-home-located-in-westend/RoU3foUhi?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,[],['home'],"['Great', 'Westend']"
Spacious Studio with riverview in Tiergarten,"€1,100",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/spacious-studio-with-riverview-in-tiergarten/5c8e458e9be0db00063d4a6e?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['Spacious'],['riverview'],"['Studio', 'Tiergarten']"
Superior Studios-Apartments in a quiet central location near Kurfürstendamm (Category L #105),"€2,015",3,2,51 m²,https://wunderflats.com/en/furnished-apartment/superior-studios-apartments-in-a-quiet-central-location-near-kurfuerstendamm-category-l-105/5d93674c953ac70008178536?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['Superior', 'quiet', 'central']",['location'],"['Kurfürstendamm', 'Category', 'L']"
"Awesome & beautiful apartment in popular area, Berlin","€1,290",1,2,50 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-beautiful-apartment-in-popular-area-berlin/5f352fb2836e81000677c578?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['beautiful', 'popular']","['apartment', 'area']","['Awesome', 'Berlin']"
Neat and quiet apartment in Berlin-Wilmersdorf,"€1,100",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/g/neat-and-quiet-apartment-in-berlin-wilmersdorf/B1SdeIrzZ?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['quiet'],['apartment'],"['Neat', 'Berlin-Wilmersdorf']"
Charming apartment in Charlottenburg,"€1,250",1,1,37 m²,https://wunderflats.com/en/furnished-apartment/charming-apartment-in-charlottenburg/5d5d449ffa63be0007e7f869?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,[],['apartment'],['Charlottenburg']
"Bright, furnished apartment - quiet & green location - yet close to the center","€1,550",2,2,65 m²,https://wunderflats.com/en/furnished-apartment/bright-furnished-apartment-quiet-and-green-location-yet-close-to-the-center/60c0b5ea85d4990006093f46?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['quiet', 'green']","['apartment', 'location', 'center']",['Bright']
Wonderful & cute studio in Wilmersdorf,"€2,170",2,2,65 m²,https://wunderflats.com/en/furnished-apartment/g/wonderful-and-cute-studio-in-wilmersdorf/SK79kX8c3v?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['cute'],['studio'],"['Wonderful', 'Wilmersdorf']"
Huge Penthouse with sunny terrace (Mitte),"€3,250",4,8,130 m²,https://wunderflats.com/en/furnished-apartment/huge-penthouse-with-sunny-terrace-mitte/59ba93c2c3fbc541f03c0bff?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['sunny'],['terrace'],"['Huge', 'Penthouse', 'Mitte']"
"Bright, stylish home in trendy Neukölln next to a huge park","€1,029",1,1,43 m²,https://wunderflats.com/en/furnished-apartment/bright-stylish-home-in-trendy-neukoelln-next-to-a-huge-park/5beefb404feb560007f64a9c?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['stylish', 'trendy', 'next', 'huge']","['home', 'park']","['Bright', 'Neukölln']"
Pretty & cozy Apartment (Charlottenburg),"€1,300",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/pretty-and-cozy-apartment-charlottenburg/60622eb1b467620008593c5c?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['cozy'],[],"['Pretty', 'Apartment', 'Charlottenburg']"
Modern & neat loft in Westend,"€1,190",1,1,32 m²,https://wunderflats.com/en/furnished-apartment/modern-and-neat-loft-in-westend/59a6d3d1ac13d2360ce4d185?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['neat'],['loft'],"['Modern', 'Westend']"
Neat and awesome suite (Berlin),"€2,190",4,4,112 m²,https://wunderflats.com/en/furnished-apartment/neat-and-awesome-suite-berlin/5d316dff724b7600075f7a44?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['awesome'],['suite'],"['Neat', 'Berlin']"
"Lovely, pretty studio","€1,000",1,1,24 m²,https://wunderflats.com/en/furnished-apartment/lovely-pretty-studio/5e7264a37485ad000625ef6a?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['pretty'],['studio'],[]
Apartment for Family & Friends in Kreuzberg,"€3,713",5,3,90 m²,https://wunderflats.com/en/furnished-apartment/apartment-for-family-and-friends-in-kreuzberg/5f92f4600bd18f00067fee03?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,[],['Apartment'],"['Family', 'Friends', 'Kreuzberg']"
"Lovely, perfect suite - great view!","€1,330",1,1,36.24 m²,https://wunderflats.com/en/furnished-apartment/lovely-perfect-suite-great-view/5eb3d2c8495929000615d8d9?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['perfect', 'great']",['view'],[]
Windsor: Luxury apartment with free parking,"€2,200",2,1,45 m²,https://wunderflats.com/en/furnished-apartment/windsor-luxury-apartment-with-free-parking/5e13602ead90260006972626?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,['free'],"['Windsor', 'Luxury', 'apartment', 'parking']",[]
Quiet individual old style apartment near Kurfürstendamm,"€1,025",1,1,31 m²,https://wunderflats.com/en/furnished-apartment/quiet-individual-old-style-apartment-near-kurfuerstendamm/5dad651500e9de0006fb3dbc?dataLayerKey=Om0ojUENnxa9qfvUdi3Ka,"['Quiet', 'individual', 'old']","['style', 'apartment']",['Kurfürstendamm']
Full Furnished House with a big Garden in Berlin-Heiligensee,"€3,850",3,2,115 m²,https://wunderflats.com/en/furnished-apartment/full-furnished-house-with-a-big-garden-in-berlin-heiligensee/5e173437d0ff8600075708dd?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,['big'],['Garden'],"['Full', 'Furnished', 'House', 'Berlin-Heiligensee']"
Family RyLi home top spot Prenz´lBerg,"€2,790",3,3,70 m²,https://wunderflats.com/en/furnished-apartment/family-ryli-home-top-spot-prenzlberg/5e6d62def370be0006bde27a?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,[],"['home', 'top', 'spot']","['RyLi', 'Prenz´lBerg']"
250SQM 3 BEDROOM LUXURY PENTHOUSE IN MITTE WITH A SECRET PARK,"€9,000",4,3,250 m²,https://wunderflats.com/en/furnished-apartment/250sqm-3-bedroom-luxury-penthouse-in-mitte-with-a-secret-park/603fb80319ce54000715cf69?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,[],[],"['BEDROOM', 'LUXURY', 'PENTHOUSE', 'IN', 'MITTE', 'WITH', 'A', 'SECRET', 'PARK']"
"Modern, bright luxury apartment with exclusive furniture in Charlottenburg","€1,920",2,1,80 m²,https://wunderflats.com/en/furnished-apartment/modern-bright-luxury-apartment-with-exclusive-furniture-in-charlottenburg/5cee642b67cf6e000634174a?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,"['bright', 'exclusive']","['luxury', 'apartment', 'furniture']","['Modern', 'Charlottenburg']"
Beautiful apartment located in Schmöckwitz,€629,1,1,27 m²,https://wunderflats.com/en/furnished-apartment/g/beautiful-apartment-located-in-schmoeckwitz/r1D8Lqj6aIQl?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,['Beautiful'],['apartment'],['Schmöckwitz']
"Bright studio apartment near Ostkreuz, all bills included.","€1,000",1,1,24 m²,https://wunderflats.com/en/furnished-apartment/g/bright-studio-apartment-near-ostkreuz-all-bills-included/SJoWTVZWm?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,['Bright'],"['studio', 'apartment']",['Ostkreuz']
1-bedroom apartment in trendy Friedrichshain area,"€1,750",2,2,51 m²,https://wunderflats.com/en/furnished-apartment/1-bedroom-apartment-in-trendy-friedrichshain-area/60c75d9cecc3ea000896a5b5?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,"['1-bedroom', 'trendy']","['apartment', 'area']",['Friedrichshain']
Bright and modern apartment near Potsdamer Platz,"€1,040",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/bright-and-modern-apartment-near-potsdamer-platz/5d4049c5b25d01000684c764?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,['modern'],['apartment'],"['Bright', 'Potsdamer', 'Platz']"
Perfect & modern apartment located in Neukölln,"€1,585",2,2,58 m²,https://wunderflats.com/en/furnished-apartment/perfect-and-modern-apartment-located-in-neukoelln/60cb42462f5d2a00087a3d37?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,['modern'],['apartment'],"['Perfect', 'Neukölln']"
Beautiful old building flat in Friedenau,"€1,300",2,2,61 m²,https://wunderflats.com/en/furnished-apartment/beautiful-old-building-flat-in-friedenau/5e785def07e04f0006560516?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,['old'],"['building', 'flat']","['Beautiful', 'Friedenau']"
Cozy and neat studio in Wittenau,"€1,200",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-neat-studio-in-wittenau/5a1fd0663d3d3147d271d3ef?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,['neat'],['studio'],"['Cozy', 'Wittenau']"
Sunny apartment with south-facing balcony in a quiet area of Britz,"€1,290",2,1,53 m²,https://wunderflats.com/en/furnished-apartment/sunny-apartment-with-south-facing-balcony-in-a-quiet-area-of-britz/5e21986ee612a200061d54b0?dataLayerKey=zo3I3re4CWg7e1XVK0Lim,"['Sunny', 'south-facing', 'quiet']","['apartment', 'balcony', 'area']",['Britz']
